,latitude,longitude,code,val
0,16.054785,103.66429,ABRT,
1,15.788054,104.642235,ACRU,26.9
2,17.860956,101.61144,AIT002,26.9
3,18.151169,102.17911,AIT003,28.1
4,18.016796,103.0809,AIT004,27.2
5,18.282616,103.88075,AIT005,27.3
6,17.61093,104.396034,AIT006,26.9
7,17.09678,104.76291,AIT007,27.0
8,16.546862,104.730385,AIT008,27.0
9,16.345835,104.889885,AIT009,26.9
10,15.931226,105.33725,AIT010,27.3
11,15.310499,105.49311,AIT011,27.1
12,17.61611,103.42706,BAKI,27.0
13,17.372976,103.984436,BBUA,26.6
14,17.38684,103.29087,BCNG,27.5
15,14.587073,102.49519,BDAR,26.5
16,17.704449,103.26374,BDGN,27.3
17,16.790775,103.66739,BDLM,
18,17.076832,103.02149,BDMG,26.9
19,16.008148,103.319046,BDWN,26.9
20,15.013624,102.7486,BGRT,27.6
21,14.615361,104.64972,BHPK,26.8
22,15.34234,104.821556,BHRA,27.4
23,16.706406,103.28007,BHYD,
24,14.566598,103.74285,BJAN,27.4
25,16.018831,101.50007,BJIG,27.1
26,15.6989565,102.01483,BKHI,27.3
27,17.968061,104.04947,BKHL,26.7
28,14.7293005,101.98731,BKUG,27.9
29,16.425287,103.559715,BMOD,26.7
30,15.521906,104.33994,BMUA,
31,14.854486,105.32193,BNAK,
32,17.261852,102.33818,BNHI,26.8
33,16.127357,104.115,BNHO,26.9
34,16.908905,104.61866,BNKE,27.0
35,14.694645,102.88828,BNKP,28.1
36,15.12195,104.24135,BNLG,27.4
37,16.18973,104.51632,BNMK,26.7
38,16.11657,102.706726,BNPI,27.9
39,17.686718,102.47648,BNPU,27.0
40,15.861906,104.51559,BNYM,
41,17.49028,101.93206,BPIA,25.8
42,17.351482,104.620384,BPUG,
43,17.626986,104.26147,BPUN,26.5
44,14.837475,102.06884,BSDE,27.0
45,17.317413,101.63532,BSIK,26.4
46,14.395698,102.84723,BSKJ,27.3
47,15.212073,102.4462,BSUM,
48,17.703592,103.435104,BTHO,28.3
49,14.666736,104.27321,BTUD,
50,16.44443,102.725105,BTUM,27.2
51,14.496074,102.247284,BUGN,27.1
52,18.364815,103.65407,BUSW,27.3
53,15.933129,101.699524,CHI001,27.1
54,15.770343,101.81253,CHI002,
55,15.681611,102.00953,CHI003,27.6
56,15.75297,102.25305,CHI004,
57,16.096876,102.57001,CHI005,27.3
58,16.325874,102.78599,CHI006,27.5
59,16.250986,103.07402,CHI007,
60,16.21783,103.61631,CHI008,
61,16.0342,103.90716,CHI009,
62,15.524874,104.24969,CHI010,27.6
63,15.322514,104.546524,CHI011,28.0
64,16.2323,103.27108,CHI012,27.5
65,16.411118,103.46708,CHI013,27.5
66,15.96448,104.0153,CHI014,
67,16.528978,102.906006,CHI015,27.4
68,15.113833,103.6104,CHPA,27.7
69,15.906904,101.42754,CHTG,26.5
