,latitude,longitude,code,val
0,16.054785,103.66429,ABRT,
1,15.788054,104.642235,ACRU,24.7
2,17.860956,101.61144,AIT002,21.1
3,18.151169,102.17911,AIT003,24.8
4,18.016796,103.0809,AIT004,22.9
5,18.282616,103.88075,AIT005,21.9
6,17.61093,104.396034,AIT006,23.0
7,17.09678,104.76291,AIT007,22.7
8,16.546862,104.730385,AIT008,23.9
9,16.345835,104.889885,AIT009,23.4
10,15.931226,105.33725,AIT010,23.7
11,15.310499,105.49311,AIT011,25.5
12,17.61611,103.42706,BAKI,22.4
13,17.372976,103.984436,BBUA,22.4
14,17.38684,103.29087,BCNG,23.1
15,14.587073,102.49519,BDAR,23.5
16,17.704449,103.26374,BDGN,23.1
17,16.790775,103.66739,BDLM,
18,17.076832,103.02149,BDMG,22.9
19,16.008148,103.319046,BDWN,23.3
20,15.013624,102.7486,BGRT,24.0
21,14.615361,104.64972,BHPK,24.1
22,15.34234,104.821556,BHRA,25.2
23,16.706406,103.28007,BHYD,
24,14.566598,103.74285,BJAN,24.1
25,16.018831,101.50007,BJIG,23.2
26,15.6989565,102.01483,BKHI,24.0
27,17.968061,104.04947,BKHL,22.4
28,14.7293005,101.98731,BKUG,25.1
29,16.425287,103.559715,BMOD,24.8
30,15.521906,104.33994,BMUA,
31,14.854486,105.32193,BNAK,
32,17.261852,102.33818,BNHI,22.3
33,16.127357,104.115,BNHO,25.0
34,16.908905,104.61866,BNKE,22.7
35,14.694645,102.88828,BNKP,24.9
36,15.12195,104.24135,BNLG,23.7
37,16.18973,104.51632,BNMK,24.0
38,16.11657,102.706726,BNPI,25.0
39,17.686718,102.47648,BNPU,22.0
40,15.861906,104.51559,BNYM,
41,17.49028,101.93206,BPIA,21.1
42,17.351482,104.620384,BPUG,
43,17.626986,104.26147,BPUN,22.1
44,14.837475,102.06884,BSDE,23.9
45,17.317413,101.63532,BSIK,21.7
46,14.395698,102.84723,BSKJ,24.6
47,15.212073,102.4462,BSUM,
48,17.703592,103.435104,BTHO,24.3
49,14.666736,104.27321,BTUD,
50,16.44443,102.725105,BTUM,24.1
51,14.496074,102.247284,BUGN,22.7
52,18.364815,103.65407,BUSW,23.8
53,15.933129,101.699524,CHI001,
54,15.770343,101.81253,CHI002,
55,15.681611,102.00953,CHI003,25.0
56,15.75297,102.25305,CHI004,
57,16.096876,102.57001,CHI005,23.9
58,16.325874,102.78599,CHI006,
59,16.250986,103.07402,CHI007,
60,16.21783,103.61631,CHI008,
61,16.0342,103.90716,CHI009,
62,15.524874,104.24969,CHI010,24.9
63,15.322514,104.546524,CHI011,24.6
64,16.2323,103.27108,CHI012,24.0
65,16.411118,103.46708,CHI013,24.8
66,15.96448,104.0153,CHI014,
67,16.528978,102.906006,CHI015,24.4
68,15.113833,103.6104,CHPA,24.5
69,15.906904,101.42754,CHTG,23.8
70,16.368202,104.057785,CPON,23.5
71,16.11673,102.231926,CSMO,22.5
72,17.07915,104.32593,DMKH,22.5
73,16.3184,104.918945,DTAN,
74,17.594927,103.96947,FOP014,23.2
75,17.689241,103.946594,FOP023,
76,17.622486,103.93653,FOP024,22.6
77,18.339111,103.39763,HKNL,18.5
78,16.43052,101.96628,HUYG,22.7
79,14.973367,103.18647,HYRT,25.0
80,16.496685,104.66871,KAHN,22.9
81,14.710342,105.01801,KANG,24.3
82,15.443823,102.32844,KHOG,25.2
83,16.543028,104.40855,KMCE,
84,17.831097,103.75677,KMTK,23.0
85,15.308299,103.12403,KNDG,24.3
86,17.31235,101.7726,KON001,21.6
87,17.509333,101.7366,KON002,21.3
88,17.575666,102.27328,KON003,21.7
89,17.48233,102.79708,KON004,23.3
90,17.639353,103.0984,KON005,22.7
91,16.74822,102.923195,KPEM,24.4
92,16.243116,103.06304,KSPS,
93,17.412985,102.788666,KUDN,24.1
94,15.665376,103.57421,KWSI,
95,16.896736,102.20167,LDKS,22.0
96,17.496407,100.88749,LHOK,20.1
97,14.188854,102.68468,LNRG,23.0
98,14.850811,103.49769,MGTI,23.5
99,16.48885,102.419075,MITP01,23.3
100,15.105278,104.568665,MKTR,24.3
101,17.503641,101.35063,MOU087,16.9
102,17.928356,102.06969,MOU088,20.4
103,17.210735,103.003716,MOU089,23.0
104,17.187243,103.45411,MOU090,21.9
105,17.158497,102.69408,MOU091,20.5
106,17.078436,102.56078,MOU092,22.3
107,16.931946,102.7016,MOU093,23.9
108,16.886986,101.78821,MOU094,15.3
109,16.758228,101.96858,MOU095,
110,16.682842,103.957504,MOU096,
111,16.677929,102.354195,MOU097,22.1
112,16.66195,102.22475,MOU098,20.6
113,16.66067,101.73709,MOU099,20.8
114,16.433313,104.80224,MOU100,23.3
115,15.997118,101.88819,MOU101,23.0
116,15.984405,102.037865,MOU102,23.5
117,15.885829,104.73016,MOU103,24.2
118,15.632916,101.38916,MOU104,21.8
119,15.62108,105.6168,MOU105,23.4
120,14.549555,101.26519,MOU106,22.6
121,14.467741,101.59084,MOU107,20.5
122,14.404393,104.688,MOU108,22.3
123,14.4351635,105.255844,MOU109,25.7
124,14.431585,104.05005,MOU110,22.8
125,14.356429,101.72591,MOU111,
126,14.322967,101.93308,MOU112,22.1
127,14.250021,102.97807,MOU113,23.2
128,16.8692,104.528,MOU204,
129,17.3048,101.4,MOU211,21.1
130,17.503416,100.93903,MOU212,19.2
131,16.8463,103.779,MOU231,
132,15.9385,101.521,MOU232,
133,16.4997,101.673,MOU233,
134,15.10227,104.28878,MOU244,
135,14.5013,104.276,MOU251,
136,14.4554,103.915,MOU252,
137,14.2047,102.211,MOU256,
138,17.249895,101.38313,MOU426,20.6
139,14.968018,102.23782,MUN002,23.9
140,15.286645,102.68465,MUN003,25.1
141,15.201532,102.489685,MUN004,
142,15.339514,104.15235,MUN005,25.3
143,15.205614,104.81391,MUN006,
144,15.435367,103.01265,MUN008,
145,14.875548,103.37887,MUN009,
146,15.118101,104.318596,MUN010,
147,15.249662,105.2393,MUN011,25.1
148,14.633083,103.23043,MUN012,24.7
149,15.048324,104.02095,MUN013,
150,15.299861,103.29233,MUN014,23.9
151,15.329683,103.68261,MUN015,
152,15.840045,104.455666,MUN016,
153,15.32767,104.68188,MUN017,
154,16.797806,104.04481,NAKU,23.6
155,15.350509,103.47608,NANP,24.2
156,15.560492,105.50172,NAPK,
157,15.011457,104.9482,NASG,25.2
158,17.824257,101.66916,NASW,20.5
159,15.254277,101.8664,NBLK,24.2
160,17.889479,103.21055,NEAK,21.6
161,15.2784605,102.63903,NGCH,24.2
162,15.977661,105.03393,NGPH,
163,17.204111,103.687035,NKNN,
164,15.165593,102.087746,NKSG,23.8
165,17.080946,103.39906,NKTP,22.8
166,15.891125,103.078186,NNDG,24.2
167,16.199198,101.93238,NNKO,23.4
168,17.320726,102.0248,NNPT,22.1
169,16.67888,101.987114,NNTU,
170,15.774314,103.102806,NOKG,24.4
171,18.10733,103.41312,NOKW,22.4
172,17.695118,102.6153,NONA,22.8
173,14.864202,104.350685,NOPU,24.8
174,15.901687,105.278755,NTAN,24.2
175,15.754068,103.917465,NTTI,19.6
176,17.250784,102.60559,NWSO,22.0
177,14.499624,104.99805,NYUN,
178,16.92319,104.7161,ONE006,23.1
179,16.922228,104.71621,ONE007,22.9
180,16.928389,104.720314,ONE008,23.3
181,16.927946,104.72031,ONE009,23.3
182,16.929127,104.70069,ONE010,
183,16.96218,104.52514,ONE011,
184,16.96175,104.52583,ONE012,23.1
185,16.993048,104.59141,ONE013,22.5
186,17.001423,104.42569,ONE014,23.3
187,17.00039,104.42528,ONE015,
188,17.057098,104.363556,ONE016,23.2
189,17.065418,104.579025,ONE017,
190,17.064844,104.57885,ONE018,23.2
191,17.115343,104.53788,ONE019,22.9
192,17.114717,104.53841,ONE020,22.6
193,15.240674,101.786194,ONE021,26.5
194,15.310615,101.743996,ONE022,24.6
195,17.081032,104.36085,ONE028,22.9
196,17.080105,104.36071,ONE029,23.1
197,17.126007,104.14093,ONE030,22.6
198,17.15318,104.2829,ONE031,
199,17.15333,104.28338,ONE032,
200,17.166748,104.11901,ONE033,25.0
201,17.208946,104.101845,ONE034,23.9
202,16.548172,104.20809,ONE050,
203,16.923668,103.59711,ONE051,
204,16.533354,103.205505,ONE052,
205,14.418626,102.22095,ONE053,24.0
206,15.486866,102.24146,ONE054,24.3
207,15.603773,102.21791,ONE055,23.7
208,14.772733,101.71567,ONE056,23.0
209,14.635942,101.844666,ONE057,
210,16.30008,102.26176,ONE065,23.4
211,16.870367,104.552444,ONE068,22.6
212,17.177198,104.608246,ONE069,22.3
213,16.923141,104.39272,ONE070,
214,14.2470045,102.93663,ONE072,23.2
