,latitude,longitude,code,val
0,16.054785,103.66429,ABRT,
1,15.788054,104.642235,ACRU,78.9
2,17.860956,101.61144,AIT002,85.6
3,18.151169,102.17911,AIT003,81.6
4,18.016796,103.0809,AIT004,77.9
5,18.282616,103.88075,AIT005,80.7
6,17.61093,104.396034,AIT006,82.9
7,17.09678,104.76291,AIT007,81.6
8,16.546862,104.730385,AIT008,77.0
9,16.345835,104.889885,AIT009,82.1
10,15.931226,105.33725,AIT010,85.1
11,15.310499,105.49311,AIT011,83.6
12,17.61611,103.42706,BAKI,84.7
13,17.372976,103.984436,BBUA,83.4
14,17.38684,103.29087,BCNG,81.2
15,14.587073,102.49519,BDAR,89.5
16,17.704449,103.26374,BDGN,77.4
17,16.790775,103.66739,BDLM,
18,17.076832,103.02149,BDMG,82.0
19,16.008148,103.319046,BDWN,100.0
20,15.013624,102.7486,BGRT,86.1
21,14.615361,104.64972,BHPK,87.1
22,15.34234,104.821556,BHRA,82.5
23,16.706406,103.28007,BHYD,
24,14.566598,103.74285,BJAN,83.5
25,16.018831,101.50007,BJIG,86.5
26,15.6989565,102.01483,BKHI,85.3
27,17.968061,104.04947,BKHL,84.9
28,14.7293005,101.98731,BKUG,77.7
29,16.425287,103.559715,BMOD,86.4
30,15.521906,104.33994,BMUA,
31,14.854486,105.32193,BNAK,
32,17.261852,102.33818,BNHI,83.8
33,16.127357,104.115,BNHO,78.6
34,16.908905,104.61866,BNKE,75.1
35,14.694645,102.88828,BNKP,84.0
36,15.12195,104.24135,BNLG,79.7
37,16.18973,104.51632,BNMK,82.0
38,16.11657,102.706726,BNPI,84.6
39,17.686718,102.47648,BNPU,80.4
40,15.861906,104.51559,BNYM,
41,17.49028,101.93206,BPIA,87.0
42,17.351482,104.620384,BPUG,88.8
43,17.626986,104.26147,BPUN,85.6
44,14.837475,102.06884,BSDE,82.8
45,17.317413,101.63532,BSIK,87.8
46,14.395698,102.84723,BSKJ,83.5
47,15.212073,102.4462,BSUM,
48,17.703592,103.435104,BTHO,92.7
49,14.666736,104.27321,BTUD,
50,16.44443,102.725105,BTUM,80.7
51,14.496074,102.247284,BUGN,87.9
52,18.364815,103.65407,BUSW,76.7
53,15.933129,101.699524,CHI001,82.3
54,15.770343,101.81253,CHI002,
55,15.681611,102.00953,CHI003,81.4
56,15.75297,102.25305,CHI004,
57,16.096876,102.57001,CHI005,80.3
58,16.325874,102.78599,CHI006,80.1
59,16.250986,103.07402,CHI007,
60,16.21783,103.61631,CHI008,
61,16.0342,103.90716,CHI009,
62,15.524874,104.24969,CHI010,78.6
63,15.322514,104.546524,CHI011,81.7
64,16.2323,103.27108,CHI012,81.1
65,16.411118,103.46708,CHI013,72.6
66,15.96448,104.0153,CHI014,
67,16.528978,102.906006,CHI015,78.2
68,15.113833,103.6104,CHPA,84.0
69,15.906904,101.42754,CHTG,86.2
70,16.368202,104.057785,CPON,87.5
71,16.11673,102.231926,CSMO,96.2
72,17.07915,104.32593,DMKH,82.8
73,16.3184,104.918945,DTAN,
74,17.594927,103.96947,FOP014,79.0
75,17.689241,103.946594,FOP023,
76,17.622486,103.93653,FOP024,78.5
77,18.339111,103.39763,HKNL,81.8
78,16.43052,101.96628,HUYG,85.7
79,14.973367,103.18647,HYRT,79.6
80,16.496685,104.66871,KAHN,78.6
81,14.710342,105.01801,KANG,89.3
82,15.443823,102.32844,KHOG,81.1
83,16.543028,104.40855,KMCE,85.1
84,17.831097,103.75677,KMTK,82.7
85,15.308299,103.12403,KNDG,100.0
86,17.31235,101.7726,KON001,83.7
87,17.509333,101.7366,KON002,86.9
88,17.575666,102.27328,KON003,83.2
89,17.48233,102.79708,KON004,81.6
90,17.639353,103.0984,KON005,81.2
91,16.74822,102.923195,KPEM,76.2
92,16.243116,103.06304,KSPS,
93,17.412985,102.788666,KUDN,73.8
94,15.665376,103.57421,KWSI,
95,16.896736,102.20167,LDKS,86.4
96,17.496407,100.88749,LHOK,86.4
97,14.188854,102.68468,LNRG,85.7
98,14.850811,103.49769,MGTI,81.8
99,16.48885,102.419075,MITP01,83.4
100,15.105278,104.568665,MKTR,83.7
101,17.503641,101.35063,MOU087,93.1
102,17.928356,102.06969,MOU088,91.9
103,17.210735,103.003716,MOU089,83.6
104,17.187243,103.45411,MOU090,87.8
105,17.158497,102.69408,MOU091,89.3
106,17.078436,102.56078,MOU092,87.8
107,16.931946,102.7016,MOU093,85.8
108,16.886986,101.78821,MOU094,90.2
109,16.758228,101.96858,MOU095,84.9
110,16.682842,103.957504,MOU096,
111,16.677929,102.354195,MOU097,84.2
112,16.66195,102.22475,MOU098,
113,16.66067,101.73709,MOU099,90.2
114,16.433313,104.80224,MOU100,81.9
115,15.997118,101.88819,MOU101,84.0
116,15.984405,102.037865,MOU102,86.6
117,15.885829,104.73016,MOU103,86.3
118,15.632916,101.38916,MOU104,86.2
119,15.62108,105.6168,MOU105,
120,14.549555,101.26519,MOU106,86.8
121,14.467741,101.59084,MOU107,91.3
122,14.404393,104.688,MOU108,84.3
123,14.4351635,105.255844,MOU109,85.2
124,14.431585,104.05005,MOU110,89.1
125,14.356429,101.72591,MOU111,
126,14.322967,101.93308,MOU112,83.5
127,14.250021,102.97807,MOU113,85.4
128,16.8692,104.528,MOU204,
129,17.3048,101.4,MOU211,
130,17.503416,100.93903,MOU212,
131,16.8463,103.779,MOU231,
132,15.9385,101.521,MOU232,
133,16.4997,101.673,MOU233,
134,15.10227,104.28878,MOU244,
135,14.5013,104.276,MOU251,
136,14.4554,103.915,MOU252,
137,14.2047,102.211,MOU256,
138,17.249895,101.38313,MOU426,
139,14.968018,102.23782,MUN002,100.0
140,15.286645,102.68465,MUN003,82.1
141,15.201532,102.489685,MUN004,
142,15.339514,104.15235,MUN005,81.3
143,15.205614,104.81391,MUN006,
144,15.435367,103.01265,MUN008,
145,14.875548,103.37887,MUN009,
146,15.118101,104.318596,MUN010,81.7
147,15.249662,105.2393,MUN011,78.0
148,14.633083,103.23043,MUN012,87.4
149,15.048324,104.02095,MUN013,
150,15.299861,103.29233,MUN014,82.4
151,15.329683,103.68261,MUN015,
152,15.840045,104.455666,MUN016,
153,15.32767,104.68188,MUN017,
154,16.797806,104.04481,NAKU,79.3
155,15.350509,103.47608,NANP,81.4
156,15.560492,105.50172,NAPK,
157,15.011457,104.9482,NASG,81.2
158,17.824257,101.66916,NASW,85.5
159,15.254277,101.8664,NBLK,84.2
160,17.889479,103.21055,NEAK,80.0
161,15.2784605,102.63903,NGCH,82.2
162,15.977661,105.03393,NGPH,
163,17.204111,103.687035,NKNN,
164,15.165593,102.087746,NKSG,77.9
165,17.080946,103.39906,NKTP,85.1
166,15.891125,103.078186,NNDG,84.1
167,16.199198,101.93238,NNKO,85.2
168,17.320726,102.0248,NNPT,86.2
169,16.67888,101.987114,NNTU,
170,15.774314,103.102806,NOKG,88.1
171,18.10733,103.41312,NOKW,70.5
172,17.695118,102.6153,NONA,81.9
173,14.864202,104.350685,NOPU,83.0
174,15.901687,105.278755,NTAN,85.1
175,15.754068,103.917465,NTTI,
176,17.250784,102.60559,NWSO,
177,14.499624,104.99805,NYUN,
178,16.92319,104.7161,ONE006,75.8
179,16.922228,104.71621,ONE007,75.0
180,16.928389,104.720314,ONE008,76.7
181,16.927946,104.72031,ONE009,77.8
182,16.929127,104.70069,ONE010,77.9
183,16.96218,104.52514,ONE011,79.5
184,16.96175,104.52583,ONE012,77.1
185,16.993048,104.59141,ONE013,79.8
186,17.001423,104.42569,ONE014,77.5
187,17.00039,104.42528,ONE015,
188,17.057098,104.363556,ONE016,78.8
189,17.065418,104.579025,ONE017,
190,17.064844,104.57885,ONE018,78.1
191,17.115343,104.53788,ONE019,76.9
192,17.114717,104.53841,ONE020,79.4
193,15.240674,101.786194,ONE021,
194,15.310615,101.743996,ONE022,78.6
195,17.081032,104.36085,ONE028,81.4
196,17.080105,104.36071,ONE029,79.7
197,17.126007,104.14093,ONE030,81.1
198,17.15318,104.2829,ONE031,
199,17.15333,104.28338,ONE032,
200,17.166748,104.11901,ONE033,79.4
201,17.208946,104.101845,ONE034,77.9
202,16.548172,104.20809,ONE050,81.7
203,16.923668,103.59711,ONE051,
204,16.533354,103.205505,ONE052,81.7
205,14.418626,102.22095,ONE053,83.0
206,15.486866,102.24146,ONE054,82.6
207,15.603773,102.21791,ONE055,84.2
208,14.772733,101.71567,ONE056,82.8
209,14.635942,101.844666,ONE057,84.2
210,16.30008,102.26176,ONE065,83.6
211,16.870367,104.552444,ONE068,82.5
212,17.177198,104.608246,ONE069,81.4
213,16.923141,104.39272,ONE070,74.5
214,14.2470045,102.93663,ONE072,87.6
215,14.370019,103.14557,ONE073,83.9
216,16.341164,104.52088,ONE083,81.7
217,16.226318,104.775986,ONE084,80.8
218,16.461332,104.260345,ONE085,84.2
219,16.798046,104.51644,ONE086,
220,16.12564,104.750725,ONE087,79.2
221,16.683016,104.15919,ONE092,
222,14.486936,104.45376,ONE093,88.3
223,16.871344,103.992195,ONE094,83.0
224,16.90026,104.18291,ONE095,82.1
225,17.120447,104.05049,ONE096,82.5
226,17.214973,103.95327,ONE097,84.4
227,14.431426,103.96209,ONE101,86.6
228,14.4672365,103.61535,ONE102,
229,15.927208,104.62791,ONE103,82.8
230,15.939874,104.78428,ONE104,87.2
231,17.356894,102.60081,ONE105,81.5
232,17.041063,102.62487,ONE106,85.8
233,14.420161,105.179794,ONE107,85.6
234,17.398815,103.71349,PGKH,85.1
235,16.877161,101.861404,PHKD,69.4
236,15.781359,102.596535,PHON,85.3
237,18.059086,103.08175,PHPS,85.2
238,18.063122,103.73638,PNCR,84.1
239,17.089527,101.11005,POCE,87.5
240,17.006287,103.91594,PPAN,86.5
241,14.645426,103.436264,PRST,
242,17.877052,102.727104,PTWY,81.8
243,16.638739,102.42057,PTYS,82.4
244,15.310045,105.279106,RAWE,84.3
245,14.984579,101.50314,RID085,
246,14.644163,101.31594,RSW001,
247,14.627946,101.32013,RSW002,
248,14.614695,101.332344,RSW003,
249,16.380875,103.75481,SACS,82.0
250,18.0687,102.26269,SGKM,85.1
251,14.947535,102.40288,SISU,82.9
252,17.777632,104.01503,SKM001,79.4
253,17.821556,103.38691,SKM003,75.9
254,17.674871,104.28583,SKM004,79.8
255,17.594727,103.38448,SKM005,81.7
256,16.355639,102.37859,SMSU,85.2
257,17.020002,102.59124,SOKL,84.7
258,17.251728,104.181786,TARE,84.0
259,15.5038,104.966,TB0003,
260,15.097126,102.866806,TBR016,86.3
261,15.795404,104.14032,TBR017,81.6
262,15.983045,104.31135,TBR018,81.7
263,16.14868,104.3944,TBR019,
264,16.268076,104.40586,TBR020,
265,16.167002,104.64116,TBR021,81.7
266,14.617069,102.90032,TBW017,87.1
267,14.559918,102.95148,TBW018,88.3
268,14.271639,102.98231,TBW019,87.6
269,16.2593,103.69052,TBW025,81.3
270,16.60361,103.96229,TBW026,79.8
271,17.322672,103.97925,TBW027,83.7
272,17.59971,103.98092,TBW028,80.1
273,16.320581,104.02246,TBW029,82.6
274,16.996626,104.17369,TBW030,83.7
275,15.806231,104.328125,TBW031,
276,17.029024,104.41203,TBW032,84.3
277,16.195423,104.52569,TBW033,80.4
278,15.399449,101.60259,TEPT,79.9
279,15.31667,103.93546,THAT,
280,15.621557,105.023094,TKPP,
281,14.606866,101.45632,TLPC,83.1
282,15.886104,104.161385,TNOK,
283,16.997461,104.16753,TOGO,85.7
284,17.45857,101.361595,TPUR,84.1
285,14.732631,104.90764,TSUD,88.7
286,14.537939,101.96932,UDMS,91.5
287,15.18156,102.844444,VLGE01,88.7
288,15.755694,105.49456,VLGE02,86.4
289,14.592325,102.66769,VLGE07,84.9
290,15.180775,103.15741,VLGE08,
291,15.418898,104.34194,VLGE14,81.2
292,14.93519,102.888565,VLGE21,87.7
293,15.916482,102.536285,VLGE24,66.8
294,14.572733,103.47313,VLGE27,85.7
295,17.147375,102.33215,VLGE32,79.9
296,18.294792,103.99484,VLGE34,70.0
297,15.873154,102.01616,VLGE37,79.4
298,16.829872,102.63799,VLGE38,
299,16.616161,103.71737,VLGE39,81.6
300,16.430733,104.07318,VLGE43,78.4
301,14.85901,103.36128,VLGE44,
302,15.839306,102.41476,VLGE46,79.0
303,15.639162,102.039345,WEI011,79.6
304,15.638419,102.04003,WEI012,79.1
305,15.7906,102.30444,WEI021,85.3
306,15.79127,102.305244,WEI022,86.5
307,16.073935,102.49413,WEI031,
308,16.074396,102.49476,WEI032,
309,16.724548,102.80348,WEI041,79.4
310,16.369093,102.9476,WEI051,80.3
311,16.365917,102.949814,WEI052,80.6
312,16.19945,103.472946,WEI061,
313,16.20019,103.473595,WEI062,
314,16.17262,103.78899,WEI071,
315,16.17226,103.78975,WEI072,80.2
316,15.732574,104.1318,WEI081,76.5
317,15.310541,104.45604,WEI091,78.8
318,15.310815,104.45696,WEI092,
319,15.135041,104.70204,WEI101,80.1
320,15.134361,104.70282,WEI102,84.6
321,15.344366,104.098785,WEI111,79.7
322,15.344061,104.09935,WEI112,
323,15.29348,103.54048,WEI121,74.9
324,15.292882,103.54234,WEI122,
325,15.41203,103.10234,WEI131,79.9
326,15.4110365,103.103714,WEI132,79.6
327,15.386649,102.71879,WEI141,84.6
328,15.386566,102.719154,WEI142,
329,15.227773,102.50164,WEI151,
330,15.050581,101.66221,WGRY,
331,14.37441,101.86515,WNKH,86.8
332,14.415645,101.68407,WNMI,87.0
333,17.602118,103.80707,YBKM,
