,latitude,longitude,code,val
0,16.054785,103.66429,ABRT,
1,15.788054,104.642235,ACRU,83.1
2,17.860956,101.61144,AIT002,87.6
3,18.151169,102.17911,AIT003,81.3
4,18.016796,103.0809,AIT004,84.4
5,18.282616,103.88075,AIT005,84.2
6,17.61093,104.396034,AIT006,82.1
7,17.09678,104.76291,AIT007,83.6
8,16.546862,104.730385,AIT008,80.9
9,16.345835,104.889885,AIT009,83.9
10,15.931226,105.33725,AIT010,85.0
11,15.310499,105.49311,AIT011,84.4
12,17.61611,103.42706,BAKI,84.7
13,17.372976,103.984436,BBUA,86.1
14,17.38684,103.29087,BCNG,82.4
15,14.587073,102.49519,BDAR,89.1
16,17.704449,103.26374,BDGN,79.8
17,16.790775,103.66739,BDLM,
18,17.076832,103.02149,BDMG,84.8
19,16.008148,103.319046,BDWN,100.0
20,15.013624,102.7486,BGRT,85.9
21,14.615361,104.64972,BHPK,89.3
22,15.34234,104.821556,BHRA,83.6
23,16.706406,103.28007,BHYD,
24,14.566598,103.74285,BJAN,86.8
25,16.018831,101.50007,BJIG,88.5
26,15.6989565,102.01483,BKHI,85.2
27,17.968061,104.04947,BKHL,87.5
28,14.7293005,101.98731,BKUG,77.9
29,16.425287,103.559715,BMOD,92.4
30,15.521906,104.33994,BMUA,
31,14.854486,105.32193,BNAK,
32,17.261852,102.33818,BNHI,84.7
33,16.127357,104.115,BNHO,83.6
34,16.908905,104.61866,BNKE,79.5
35,14.694645,102.88828,BNKP,85.2
36,15.12195,104.24135,BNLG,82.0
37,16.18973,104.51632,BNMK,86.6
38,16.11657,102.706726,BNPI,87.5
39,17.686718,102.47648,BNPU,84.6
40,15.861906,104.51559,BNYM,
41,17.49028,101.93206,BPIA,88.8
42,17.351482,104.620384,BPUG,
43,17.626986,104.26147,BPUN,86.0
44,14.837475,102.06884,BSDE,84.5
45,17.317413,101.63532,BSIK,86.2
46,14.395698,102.84723,BSKJ,84.4
47,15.212073,102.4462,BSUM,
48,17.703592,103.435104,BTHO,82.3
49,14.666736,104.27321,BTUD,
50,16.44443,102.725105,BTUM,84.1
51,14.496074,102.247284,BUGN,88.0
52,18.364815,103.65407,BUSW,81.7
53,15.933129,101.699524,CHI001,83.7
54,15.770343,101.81253,CHI002,
55,15.681611,102.00953,CHI003,82.0
56,15.75297,102.25305,CHI004,
57,16.096876,102.57001,CHI005,82.2
58,16.325874,102.78599,CHI006,82.9
59,16.250986,103.07402,CHI007,
60,16.21783,103.61631,CHI008,
61,16.0342,103.90716,CHI009,
62,15.524874,104.24969,CHI010,84.6
63,15.322514,104.546524,CHI011,84.2
64,16.2323,103.27108,CHI012,86.3
65,16.411118,103.46708,CHI013,77.3
66,15.96448,104.0153,CHI014,
67,16.528978,102.906006,CHI015,82.1
68,15.113833,103.6104,CHPA,88.9
69,15.906904,101.42754,CHTG,86.7
70,16.368202,104.057785,CPON,91.9
71,16.11673,102.231926,CSMO,95.6
72,17.07915,104.32593,DMKH,86.9
73,16.3184,104.918945,DTAN,
74,17.594927,103.96947,FOP014,81.2
75,17.689241,103.946594,FOP023,
76,17.622486,103.93653,FOP024,81.0
77,18.339111,103.39763,HKNL,86.3
78,16.43052,101.96628,HUYG,85.1
79,14.973367,103.18647,HYRT,83.2
80,16.496685,104.66871,KAHN,80.6
81,14.710342,105.01801,KANG,92.7
82,15.443823,102.32844,KHOG,80.7
83,16.543028,104.40855,KMCE,88.8
84,17.831097,103.75677,KMTK,84.2
85,15.308299,103.12403,KNDG,100.0
86,17.31235,101.7726,KON001,83.0
87,17.509333,101.7366,KON002,86.8
88,17.575666,102.27328,KON003,86.4
89,17.48233,102.79708,KON004,83.0
90,17.639353,103.0984,KON005,83.5
91,16.74822,102.923195,KPEM,81.2
92,16.243116,103.06304,KSPS,
93,17.412985,102.788666,KUDN,76.3
94,15.665376,103.57421,KWSI,
95,16.896736,102.20167,LDKS,87.5
96,17.496407,100.88749,LHOK,87.9
97,14.188854,102.68468,LNRG,85.3
98,14.850811,103.49769,MGTI,86.2
99,16.48885,102.419075,MITP01,83.3
100,15.105278,104.568665,MKTR,88.3
101,17.503641,101.35063,MOU087,92.5
102,17.928356,102.06969,MOU088,95.3
103,17.210735,103.003716,MOU089,85.5
104,17.187243,103.45411,MOU090,89.0
105,17.158497,102.69408,MOU091,93.5
106,17.078436,102.56078,MOU092,88.1
107,16.931946,102.7016,MOU093,90.1
108,16.886986,101.78821,MOU094,
109,16.758228,101.96858,MOU095,85.2
110,16.682842,103.957504,MOU096,
111,16.677929,102.354195,MOU097,86.0
112,16.66195,102.22475,MOU098,
113,16.66067,101.73709,MOU099,93.0
114,16.433313,104.80224,MOU100,82.8
115,15.997118,101.88819,MOU101,85.4
116,15.984405,102.037865,MOU102,89.5
117,15.885829,104.73016,MOU103,91.2
118,15.632916,101.38916,MOU104,87.8
119,15.62108,105.6168,MOU105,
120,14.549555,101.26519,MOU106,88.0
121,14.467741,101.59084,MOU107,89.8
122,14.404393,104.688,MOU108,85.9
123,14.4351635,105.255844,MOU109,86.6
124,14.431585,104.05005,MOU110,89.3
125,14.356429,101.72591,MOU111,86.9
126,14.322967,101.93308,MOU112,82.1
127,14.250021,102.97807,MOU113,85.7
128,16.8692,104.528,MOU204,
129,17.3048,101.4,MOU211,
130,17.503416,100.93903,MOU212,
131,16.8463,103.779,MOU231,
132,15.9385,101.521,MOU232,
133,16.4997,101.673,MOU233,
134,15.10227,104.28878,MOU244,
135,14.5013,104.276,MOU251,
136,14.4554,103.915,MOU252,
137,14.2047,102.211,MOU256,
138,17.249895,101.38313,MOU426,
139,14.968018,102.23782,MUN002,100.0
140,15.286645,102.68465,MUN003,83.3
